supplier_code,name,contact_person,contact_number,email,address,tin,telefax,payment_terms,status
00000028,GEO PARTS,,364-9924 / 9939,,"27-J PENEDA ST., BALINTAWAK Q. CITY",,,,Active
00000029,FRESHMAN MARKETING,CHARLIE,749-0111,,"18 UBAY ST., QUEZON CITY",,741-3264,,Active
00000030,AUTO SHAPE,,372-5243,,"2203 LEYTE ST., SINGALONG MALATE MANILA",,373-8006,,Active
00000031,NRC SALES CENTER,,254-9401 / 1529,,2320 IPIL ST. STA. CRUZ MANILA,103-905-842-000,,,Active
00000032,"JR MULTI-BUSINESS RESOURCES, INCORPORATED",,732-4870,,#111 DON MANUEL ST. STA. MESA HEIGHTS,004-817-264-000,743-0269,,Active
00000033,CITIMOTORS,,817-7052 / 5264,,PASONG TAMO ST. MAKATI CITY,,,,Active
00000034,COMPUTECH,LINO,834-4441,,,,837-4309,,Active
00000035,SEIWA AUTOMOTIVE SUPPLY ,RAMON TAN (PROP),,,57-G BANAWE ST QUEZON CITY ( SI ) ( BDO-002230085928  antonio tan,104-027-462,,,Active
00000037,EXCELSIOR,,743-0067 / 0064,,,,712-9694,,Active
00000038,EMERALD,BOY,740-7272,,"180 BANAWE ST., QUEZON CITY",,,,Active
00000039,E. BROS,REY,742-1704,,,,,,Active
00000040,FKTS AUTO SUPPLIES,RANNIE,682-8871,,PHASE 9 GREENPARK VILL. CAINTA RIZAL,913-230-499-000,682-8871,,Active
00000041,FULLNESS PARTS SUPPLY,GAVINO GAN,365-7151,,"32 SANTA ROSA ST., QUEZON CITY",,,,Active
00000042,FORD MAKATI,,818-5555,,"2245 PASONG TAMO COR SABIO ST, BARANGAY. BANGKAL MAKATI CITY",,,,Active
00000043,FORD UN,,562-5555,,UN AVENUE MANILA,,562-8985,,Active
00000044,GOODGEAR VEHICLE PARTS,RAFFY  BDO 005290095013,833-8382 / 8833-0561,,"8682 TAFT AVE., PASAY CITY   BDO 005290095013",155-698-000-000,833-8411,,Active
00000045,JAYSON AUTO PARTS CENTER,BDO 002240053301,253-5213 / 6733,,1540-1542 A. RIVERA ST. TONDO MANILA,000-330-572-000,251-5965,,Active
00000046,WHEELS INC ( SUZUKI ),mau ( account# 003660103696 bdo ),8984-1383 / 721-1607 / 1803,,E. RODRIGUEZ AVE QUEZON CITY,000-390-549,721-8456,,Active
00000047,WALCO MOTOR,,712-2387 / 1489,,"17 BANAWE ST., QUEZON CITY",,,,Active
00000048,USC CHEMICALS,,643-3781 / 3729,,,,643-3740,,Active
00000049,UPTOWN INDUSTRIES,CHIT,631-8366,,"MADISON ST., MANDALUYONG CITY",,,,Active
00000050,TEIKOKU,,254-0110,,,,,,Active
00000051,TAMARAW ENT,,242-5662,,BINONDO MANILA,,,,Active
00000052,TOYOTA OTIS,,564-1811 / 1820,,"1770 PAZ M. GUANZON ST. , PACO MANILA",,564-0436,,Active
00000053,SIMART,,363-5812,,,,365-8732,,Active
00000054,RAIN ENTERPRISES,JOCELYN,741-7254,,"16 PITACION ST., MARULAS, VALENZUELA",156-947-364-000,951-6759,,Active
00000055,NATION AUTOMOTIVE,,293-6150 / 6577,,,,,,Active
00000056,MANILA K PARTS CENTER,,724-7597 / 7598,,205 A.MABININCOR  P.BURGOS SAN JUAN METRO MANILA,,,,Active
00000057,HOMER TRADING,,939-1472,,,,962-3731,,Active
00000058,HONDA CARS MANILA,ART / CLEO,562-2505 / 4548,,PAZ GUANZN ST. PACO MANILA,, 562-2505,,Active
00000059,ISUZU SALES PHIL'S,,244-8384 / 8432,,950 BENAVIDEZ ST. STA. CRUZ MANILA,,244-8288,,Active
00000061,BINAS AUTO SUPPLY,,254-8501 / 8502,,CM RECTO AVENUE STA. CRUZ MANILA,,,,Active
00000062,CROSSWIND / ZAKCAR,,817-0560,,MAKATI,,,,Active
00000063,CHING SON SENG,,244-2024 / 2020,,BENAVIDEZ ST. STA. CRUZ MANILA,,,,Active
00000064,D' TONY'S AUTO SUPPLY,,253-3451,,CM RECTO STA. CRUZ MANILA,,,,Active
00000065,DELTA MOTOR,DING,911-0768 / 0769,,"96 MIRASOL ST., CUBAO, QUEZON CITY",,,,Active
00000066,FELSON AUTO SUPPLY,,833-3302 / 9231,,"TAFT AVENUE, PASAY CITY",,,,Active
00000067,PASAY JETCO,,551-5916,,TAFT AVENUE PASAY CITY,,551-1785,,Active
00000068,ROS ENT.,,,,,,,,Active
00000069,UNION MOTOR PARTS,,563-5671,,1760 P. GUAZON ST. PACO MANILA,000-347-994-000,563-5691,,Active
00000070,P. I. TRACTOR,,363-5156,,303 RIZAL AVE. EXT. GRACE PARK CAL.,,361-1281,,Active
00000071,MASSIVE PARTS INC (OFF ROAD MOTOR PARTS) ,DANG   bdo 000570092728,253-4048  253-4193,,"2815 JOSE ABAD SANTOS AVE., TONDO MANILA  OFFROAD TIN - 103-878-449-000          BDO 000570118700",241-692-058-000,253-1335,,Active
00000072,STOCK TRANSFER,,,,OFFICE,,,,Active
00000073,WC MOTOR PARTS ,,820-2586,,"8165J DR. A SANTOS AVE., PARAÑAQUE CITY",,,,Active
00000074,LOCHI MARKETING,,734-3265,,"3318 BATAAN ST., BACOOC STA. MESA",,734-6168,,Active
00000075,MILLERS HARDWARE,,,,"#716 FLORINTINO ST., STA. CRUZ MLA",,,,Active
00000076,VENLY,,242-0124,,"550 PLAZA CALDERON ST., BINONDO MLA.",,241-9412,,Active
00000077,RODMAR,,660-0421,,"# 3 SAMPAGUITA ST., GREGORIA HIEGHTS",,,,Active
00000078,CEBU ISUZU,,,,CEBU CITY,,,,Active
00000079,GUTHRIE MARKETING,YOLLY  bdo 0260032700,8656-5083 7239-8130,,201 N. DOMINGOST ERMITANO SAN JUAN CITY         BDO 000260032700,103-920-999-00,244-1118,,Active
00000080,LINCONLYN AUTO PARTS TRADING (LINCONLYN GENERAL MERCHANDISE),,8-293-6445 8293-2664,,"1781D ESPAÑA ST., SAMPALOC MANILA",,82936445 79668534,,Active
00000081,J-MAC,MALOU / ALBERT CO,711-4506,,"12-A PASIAN ST., TALAYAN VILL. ARANETA",,77-2801,,Active
00000082,STAR ENT.,,,,,,,,Active
00000083,LCL INDUSTRIAL SALES,LITO,221-3544,,ILSI BLDG. PICHON ST. DAVAO CITY,,226-4499,,Active
00000084,RUBBERSTAR MARKETING (UNI-PARTS),,,,"# 1970 CALATAGAN ST., PALANAN MAKATI",,,,Active
00000085,HSIANG CHIRS A/P,,412-9898,,# 17 D. CARDIZ ST. BRGY. QUEZON CITY,,413-8655,,Active
00000086,KIMJAN SALES CENTER,CHUA KIM SY,929-1642,,"47B MINDANAO AVE., QUEZON CITY   METROBANK 339-7-33951882-0",164-229-297,927-2454,,Active
00000087,YCB ENTERPRISES,SIMON YU,346-1140,,"DANAO CITY, CEBU",,346-1140,,Active
00000088,UNIVERSAL MOTORS CORP,JUDITH GARCIA,810-0151,,"2232-2234 CHINO ROCES AVE. , MAKATI CITY",000-150-022-000,750-2451,,Active
00000089,PILHINO SALES,,634-3451-58,,EDSA COR. MADISON ST. MAND. CITY,,631-5315,,Active
00000090,A.M. STARLUCK MERCHANDISING CO INC,GRACE / JUDIE,252-9664 / 53,,#1145 AGUILAR ST. STA. CRUZ MANILA bdo#2050000940,203-977-805-000,253-0526,,Active
00000091,IZUMOTO AUTO PARTS,JOAN,241-1872/3005,,# 1249 SOLER . BINONDO MANILA,,,,Active
00000092,SOLAR FOUNDRY,,,,,,,,Active
00000093,FUJIYAMA INDUSTRIAL,JC,294-1825 / 62,,P. GREGORIO ST. VALENZUELA CITY,190-524-079-000,294-1333,,Active
00000094,PATHFINDER AUTO SUPPLY,,,,"# 1655 F. YUSECO ST., STA. CRUZ, MANILA",,,,Active
00000095,CARABELLE IMPORT ENTERPRISES,,,,ESPAÑA ST. SAMPALOC MANILA,111-311-398-00,,,Active
00000096,KARRGLASS,,732-7351,,"385-A BANAWE ST., QUEZON CITY",204-880-772-001,,,Active
00000097,CAR POWER,,831-7583,,"2754 TAFT AVE., PASAY CITY",100-056-681-001,,,Active
00000098,BAY COMMERCIAL,,,,,,,,Active
00000099,RUBY RED CONSTRUCTION SUPPLY,ROBERT,,,E. RODRIGUIZ ST.,115-158-689-357,,,Active
00000100,PRIMER INTERNATIONAL,,244-1226,,"# 860 REINA REGENTE ST., BINONDO MLA.",,244-1230,,Active
00000101,ROVER PARTS SALES & SERVICE CO. INC,roverparts_ph@yahoo.com,924-5973,,"# 120 VISAYAS AVE., CULIAT Q. C.  ACCOUNT NO. : 001070033853 BDO SAVINGS",,924-5972,,Active
00000102,CEBU SERVICE PARTS INC.,,032-346-8827,,"SINGSON VILLAGE., MANDAUE CITY    BDO  000850105838  ",,,,Active
00000103,HRC AUTO SUPPLY,,712-0303,,# 51 BANAWE ST. QUEZON CITY,,,,Active
00000104,SBK INT'L. TRADING,GINA,363-9901/9902,,# 105 MARIO PONCE ST. B.BARRIO,106-558-169-000,365-9085,,Active
00000105,SEIWA XXXX,JR,732-5706,,"37G BANAWE ST., QUEZON CITY",,732-5308,,Active
00000106,GLOBAL CITY AUTO SALES INC.(FORD),CYRIC (BDO#553-000-8489) (PBI# 991-003088),860-888 LOCAL 8-131/8124,,TAGUIG METRO MANILA,,007018009597 BDO,,Active
00000107, AUTOPHIL ZONE SALES CORP ( SYCAN / AZSC) LUC AUTO SUPPLY,MARIVIC BDO 0086-780-10808 (kate),254-8546,,"1133G MASANGKAY ST., SANTA CRUZ MANILA",,251-0520,,Active
00000108,NEW MJC TRADING,,361-9775,,"# 3462 G. SANTIAGO ST., TONDO MANILA",110-785-411-000,366-6507,,Active
00000109,MVNC,,941-9737,,SAN MATEO RIZAL,,475-1749,,Active
00000110,YUTIAM HARDWARE,,,,TOMAS MAPUA,,,,Active
00000111,PHIL ALL TRAC,,,,"STA. ANA AVE., DAVAO CITY",,,,Active
00000112,ANSON,,254-2232,,"1505 BATANGAS ST., SANTA CRUZ MANILA",000-326-690-000,,,Active
00000113,BLAZER CAR MARKETING INC,ROBERT, +63 (2) 8 732 7541,,"66Q KITANLAD ST., QUEZON CITY",000-401-589-000,,,Active
00000114,UNICO,,,,ONGPIN,,,,Active
00000115,STYLIST MKTG.,,292-9013,,"# 83 CABRAL ST., MAYSAN VALEZUELA CITY",,,,Active
00000117,1TENACITY,,,,TAIWAN,,,,Active
00000118,UNION JECK,,,,TAIWAN,,,,Active
00000120,"1LU CHOU MACHINE CO., LTD",,,,TAIPEI TAIWAN,,886-6-2602-2102,,Active
00000121,EURASIA INTERTRADE INC. (VOLKSLINE COMMERCIAL INC.),INTER.EURASIA2023@GMAIL.COM,8-733-9635 / 8-735-6274 / 8-734-0254,,#59 GROUND FLOOR 16TH AVENUE CUBAO QUEZON CITY,,09276942151 /09951162639,,Active
00000122,1GURUBE INTERNATIONAL CORP.,,886-2-2763694,,"TAIPEI, TAIWAN R.O.C.",,886-2-27603477,,Active
00000123,CAMBRIDGE MOTOR PARTS SALES INC,,8-541-5745,,"819 Romualdez St cor Trini St, Ermita",234-882-657-000,0917-525-8491,,Active
00000126,VITON ENTERPRISES,,921-4395,,"11A PEARL ST., TANDANGSORA QUEZON CITY",,454-1450,,Active
00000128,DRAGON STAR MARKETING INC.,,(742-1743),,30F BANAWE Q.C,,,,Active
00000129,XXXXALPHA SUMMIT ENTERPRISES ,,480-2709,,1781D ESPAÑA ST. SAMPALOC MANILA (K & K),,732-5201,,Active
00000130,AUTOLIGHT XPRESS CORPORATION,2580162883,,,BINONDO MANILA,,,,Active
00000131,MANILA BEARING CENTER,,495-2253,,"# 908 T. PAPUA ST., STA. CRUZ MLA.",,,,Active
00000132,FORT TRADING,Bpi 4759213101,244-8576/9439,, 27C Kabignayan st. Bgry tatalon Qc malapit sa banawe kay fronte,,244-0541,,Active
00000133,SADIK AUTO PARTS SUPPLY,,   (02)412-9898,,"#35 STA. ROSA, BRGY. MANRESA, Q.C.",,,,Active
00000134,"ART MEDIA PRINTING PRESS, CO.",EDDIE,733-3287,,"1336 SOLER ST., BINONDO MANILA",,,,Active
00000135,GEMINI PART CENTER,,,,"GROUND FLOOR, GEMINI BUILDING CEBU CITY",,,,Active
00000136,METRO CARDEX INC./BESTAT AUTOPHIL CORPORATION / YAMATA,,364-4204,,"115G ROXAS ST., QUEZON CITY         BDO 001360242552",220-046-870-000,364-7387,,Active
00000137,TYC HOCKSON,,254-9085,,"1137C RECTO AVE., SANTA CRUZ MANILA",,255-4022,,Active
00000138,SUPER POWER A/S $ GEN. MRCDS.,,,,SAN DIONISIO PARAÑAQUE CITY,,,,Active
00000139,REALSON AUTO SUPPLY,,224-0007,,"ILSI BLDG. A PINCHON ST., DAVAO CITY",,,,Active
00000140,HERCO TRADING INC,MITO,,,"257 JUAN LUNA ST BINONDO , MANILA",000-326-761,,,Active
00000141,TWIN RICH,,242-0355,,"438 PINPIN ST., BINONDO MANILA",237-065-685-000,,,Active
00000142,RNY AUTO PARTS SALES,,640-2329 /  8985-6834 / 244-1838,,"971, G. Masangkay Street, Binondo, City of Manila 1006 Metro Manila",,8244-1838,,Active
00000143,TRUE FORCE MARKETING ( EXACT SALES ),,716-5250,,G. ARANETA,,,,Active
00000144,MLCT CAR DE LUXE MRKTG.,,732-6195,,QUEZON CITY,,,,Active
00000145,ENZO PARTS,,0916-244-6142,,"GATCHALIAN SUBD., LAS PIÑAS CITY",,,,Active
00000146,MULTIPARTSBOY INC.,,732-4216,,TATALON QUEZON CITY,,731-9344,,Active
00000147,SOUTH EAST,,,,,,,,Active
00000148,HAP SUY HARDWARE CO INC.,JASMINE/ CRISEL,,,314 san nicolas st. binondo manila /BDO ACCT # 000570233887,000-321-995-000,,,Active
00000150,RAM COMMERCIAL (RUPERT) XXXXXXXXX,,,,"BAMBANG, STA. CRUZ, MANILA",,,,Active
00000151,CONQUEST AUTOMOTIVE PARTS OPC (LEVIN AUTOMOTIVE PARTS),001211135304BDO,,,"95-A BANAWE ST., SAINT PETER QC",,,,Active
00000152,NEW NISMAN COMMERCIAL CORP,,,,,,,,Active
00000153,FUMIKO SKYLINE,,415-0438,,"58 MALAC ST., MASAMBONG QUEZON CITY",,,,Active
00000154,OLD TOWN AUTO SUPPLY,,523-6880/63,,"1452 SAN MARCELINO ST., PACO MANILA",140-522-583,,,Active
00000155,JYG SALES,,,,,,,,Active
00000156,CRUISER PARTS CENTER,,820-2663,,"SUCAT., PARAÑAQUE CITY",,,,Active
00000157,TWR MOTOR PARTS,,724-0756,,"1874 N. DOMINGO ST., SAN JUAN PASAY CITY",131-396-073,722-5786,,Active
00000158,SOUTHERN AUTO SUPPLY Inc. (ACCOUNT 004568006113),ODETH,244-77-74,,BINONDO MANILA,,244-52-03,,Active
00000159,STICKERASIA CO INC,MILES,880-1884,,"303 a. del mundo st. 7th ave, caloocan city  PNB 103570002389    METRO 0047004549542",,990-7858,,Active
00000160,BONIFACIO A/S,,363-7106,,"BALINTAWAK, QUEZON CITY",,361-7206,,Active
00000162,WAS AUTO SUPPLY,,712-3112,,"128 BANAWE ST., AUEZON CITY",,,,Active
00000163,SIMPLEX INDUSTRIAL CORP.,,244-1942,,BINONDO MANILA,200-871-429,,,Active
00000164,THUNDER AUTOMOTIVE PARTS INC (GLOBAL SOURCE CORP.),BDO 001178016477,244-7705 / 01,,"MASANGKAY ST., BINONDO MANILA  BDO#0011-7001-5881",,243-4425,,Active
00000165,1ROTARY TRADING CORPORATION,JOSEPH,776-8663,,"112D DOÑA SOLIDAD AVE., PARAÑAQUE CITY",006-864-709-00,0917-631-3826 jona,,Active
00000166,MERALCO,,,,,,,,Active
00000167,SOMITOMO,,829-4395,,"SUCAT., PARAÑAQUE CITY",,,,Active
00000168,WURTH,,886-5984,,,,,,Active
00000169,"MULTINATIONAL VILLAGE HOMEOWNERS ASSOCIATION, INC.",8400-8783,824-9349/824-5721,,,,821-0471/2815,,Active
00000170,CL50 POWERTRAIN ENT.,,,,,,,,Active
00000171,CJS COPY CENTER,mam sally,9154401384,,,,,,Active
00000172,STAR ACE STATIONARY,,,,,,,,Active
00000173,"PENCILTHRUST ENTS, INC",,,,YUCHENGCO ST BINONDO MANILA,008-838-635,,,Active
00000174,1CHASE STEERING,CHESTER LIN,886-2-28231114,,A/C 010-10-499523  TAIWAN,,886-2-28271875,,Active
00000178,BIR SUNHUAT,,,,,,,,Active
00000179,COMMUNICATION  - PLDT INC.,,,,,,,,Active
00000181,HALDEN GALWAY INTERNATIONAL CORP.,"CARLA less 25 , 12 , 5 %",244-5538,,123 apo st. sta mesa heights qc,231-491-014-000,245-4818 (MALAPIT ENG-AN),,Active
00000182,Elmer - printer technician,,,,,,,,Active
00000183,SALARY,,,,,,,,Active
00000184,SALESMAN EXPENSES,,,,,,,,Active
00000185,DYLANI ZERNA,,,,,,,,Active
00000186,COMMUNICATION-SUN/GLOBE,,,,,,,,Active
00000187,COMMUNICATION GLOBE,,,,,,,,Active
00000188,TRANSPORTATION,,,,,,,,Active
00000189,MAINTENANCE,,,,,,,,Active
00000190,COMPUTER-TREBLINK,,,,SUCAT,,,,Active
00000191,EQUIPMENT,,,,,,,,Active
00000192,MOTORCYCLE-SYM,,,,,,,,Active
00000193,ENTERTAINMENT,,,,,,,,Active
00000194,VARIOUS,,,,,,,,Active
00000195,VALZEN,,829-8646,,"6768 ELON ELON ST., PARAÑAQUE CITY",202-543-164-000,,,Active
00000196,DANBROS,,,,"BNT BUILDING REAL ST., LAS PIÑAS CITY",103-338-653-000,,,Active
00000197,RJFG,,,,"B10L1 REAL REVEAL SUBD., BACOOR CITY",218-282-365-000,,,Active
00000198,BENSCO,,,,"SAN ANTONIO AVE., PARAÑAQUE CITY",184-965-798-000,,,Active
00000199,MEKA,,,,"8116 DR. A SANTOS AVE., PARAÑAQUE CITY",145-806-295-000,,,Active
00000200,UNITED POWER HARDWARE,,7335314-15,,681 T  ALONZO STA CRUZ MANILA,,,,Active
00000201,MOTORMALL -MM,RONALD MERALLES,5716870-76,,100 E RODRIGUEZ JR AVE C5 UGONG PASIG,006-734-687-000,5718715,,Active
00000202,UNITRADERS ALUMINUM & GLASS,,,,,,,,Active
00000203,GREEN PARTS AUTO SUPPLY,METRO bank: 065-7-065514237,855-7513,,"# 74 WILLIAM UY CONSTRUCTION BUILDING UNIT 2201-2203 F.B HARRISON ST. CORNER ROBERT ST., PASAY CITY",461-086-032-000,,,Active
00000204,VERITAS INDUTRIAL SALES,,244-8388,,"40 JUDGE J. LUNA ST., QUEZON CITY",000-368-131-000,,,Active
00000205,WYLEY,,741-1421,,"395 BANAWE ST., QUEZON CITY",238-855-881-000,414-6662,,Active
00000206,GREAT SEA,,364-9810,,"158 RIZAL AVE., CALOOCAN CITY",140-424-119-000,,,Active
00000207,IZUPARTS CENTER INC,,361-3607,,"207 7TH AVE.,COL.DEL MUNDO STREET CALOOCAN CITY",000-296-802-000,361-7296,,Active
00000208,PROFESSIONAL FEE,,,,MICHAEL,,,,Active
00000209,MNM TRADING CORPORATION,,713-5268,,67 BRIXTON HILLS ARANETA AVENUE QUEZON CITY    TYE-STAR STOCKIST CO,210-736-296,715-4018,,Active
00000211,SSS ,,,,,,,,Active
00000212,RM MACHINE SHOP,,,,,,,,Active
00000213,MARIAN - BIR,,,,,,,,Active
00000214,AKAYA MARKETING CORPORATION,411-4415,371-77-93,,"45 zorra st. Brgy. Paltok, San francisco del monte, Quezon City",109-903-222,371-0454,,Active
00000215,TRAVEL EXPENSE,,,,,,,,Active
00000218,CITIHALL-MSYU,,,,,,,,Active
00000219,CYLINDER HEAD ENG.,PATTY,86-2032981989,,TAIWAN,,86-20-32631330,,Active
00000220,OFFICE WAREHOUSE,,,,SM,,,,Active
00000221,"WEI YU PRINTING CO., LTD",,,,TAIWAN,,,,Active
00000222,TRAVEL COST,,,,,,,,Active
00000223,NEW REGENT LUMBER/HARDWARE,,8290256,,DR A SANTOS AVE,,,,Active
00000224,PACKWARE PHILS. INC.,,,,Unit 2006 cityland 10 tower 2 hv dela costa ext Salcedo Village Makati city 88128086 for for Ria or Joeross Rosete 0922 859 63 84,000-137-425-000,,,Active
00000225,3 IN 1 MARKETING,,032 346-0171,,CEBU CITY,,,,Active
00000226,PHILHEALTH-SUNHUAT,,,,,,,,Active
00000227,SEC,,,,SECURITY EXCHANGE COMMISSION,,,,Active
00000228,PHILHEALTH,,,,,,,,Active
00000229,UKR-555,,,,,,,,Active
00000230,SUCAT PACKAGING & PLASTIC CTR,,,,DR A SANTOS AVE SUCAT PARANAQUE,214-913-485,,,Active
00000231,FOODS,,,,,,,,Active
00000233,EVERSPARK,COCO,+6075981118,,"PLO 222, JALAN CYBER 14 KAW PERINDUSTRIA",,+6075983654,,Active
00000234,NEW SPEC COMPUTER SYSTEMS,3138168,,,ALVAREZ ST COR P. GUEVARRA STA CRUZ MANILA,,,,Active
00000235,SILVER PINNACLE ENT ( FOR INVOICE ISSUANCE ),,,,,,,,Active
00000236,PROFESSIONAL FEE,,,,MARIAN - BIR,,,,Active
00000237,PROFESSIONAL FEE,,,,MANNY NAGAYA,,,,Active
00000238,MEGA COOMUNICATION INDUSTRY CO,SOPHIA,,,"11,LANE 556,SEC 2,CHUNG SHAN ROAD, TAIWA",,,,Active
00000241,1WEI-ANN,ANNA,,,"NO.12,DAH YEOU ST.,KENGKOU IND. TAIWAN",,886-2-2933-1256,,Active
00000242,UNION JECK,SONNIA,,,"NO.4,LANE31,TALI STREET,TAICHUNG TAIWAN",,,,Active
00000243,C.T.I,ANGELA CHIANG,,,"TAINAN CITY, 10SHIH CHIEN ST., TAIWAN",,,,Active
00000244,PUTW CO.,LISA CHANG,,,"8165 DR.A SANTOS AVE., SUCAT RD.,P'QUE",,,,Active
00000245,1PO CHANG,MICHI TSAI,,,"NO.582-28 SEC.1,CHUNG YANG RD.TAIWAN",,,,Active
00000246,SUCAT REFRIGERATION & AIRCON,,,,,,,,Active
00000247,MOTORIX MOTOR,,,,#68 BANAWE,,,,Active
00000249,XXXXMAXTRO MKTG CORPORATION ( YAMATA ),,,,,,,,Active
00000250,Q.C. TOYOCARS MOTOR PARTS CORP,REY ACCT BDO#1378007890,3413-4880,,"26 BANAWE ST., QUEZON CITY",007-253-344,,,Active
00000251,PROFESSIONAL FEE,,,,IMELDA BONIFACIO,,,,Active
00000252,AUTOSPEED GROUP INT'L CORP,,,,,,,,Active
00000253,DELBERT TEE,,,,,,,,Active
00000254,AUTOCIRCULOCORP.,,,,"2316 AURORA BLVD. MARICABAN, PASAY CITY",,,,Active
00000255,CLIMATE MASTER MARKETING,,,,"19 BANAWE STREET, BRGY.DOÑA JOSEFA, Q.C",,,,Active
00000256,STRONGFIX BOLTS & NUTS,WHISTLER KENT UY 09694424595,88360199 88043084,,"UNIT-P TIMES SQUARE, 8145 DR. A. SANTOS  GCASH 09060660800 DAN ROSS ",,,,Active
00000257,HARVEY CHI,,,,COMPUTER PROGRAM,,,,Active
00000258,CHRISTOPHER PRE,,,,,,,,Active
00000260,PAG-IBIG FUND,,,,,,,,Active
00000261,CYCLEMAR CALOOCAN CORP,,,,GRACE PARK CALOOCAN,005-149-072-000,,,Active
00000262,DA WOU INDUSTRIAL,,,,,,,,Active
00000263,BUM,,,,MALABON CITY,,,,Active
00000264,PHILCHAMPTRANSPORTRESOURCEINC,,,,ACACIA ST KAMPUTHAW CEBU CITY,,,,Active
00000265,MISCELLEANEOUS EXPENSES,,,,,,,,Active
00000266,LOGISTICS EXPENSES,,,,,,,,Active
00000267,1WE CHERNG ENTERPRICE CO.,,,,"NO.4-8, LN.DONGSHIN, DINNAN ST, TAIWAN",,,,Active
00000268,TOOL  WIND PARTS AND SERVICES,,,,,,,,Active
00000269,BIR,,,,,,,,Active
00000270,CLEARPACK,,,,DONA SOLEDAD BETTER LIVING,,,,Active
00000271,GORDIEL AUTO PARTS,,,,,,,,Active
00000272,HONDA PRESTIGE TRADERS INC,,,,SUCAT,,,,Active
