name,contact_number,contact_person,address,tin,customer_type_id,pricing_remarks
CEBU SERVICE PARTS INC.,032-346-8827,SEASTAR 09159580383,"SINGSON VILLAGE, MANDAUE CITY, CEBU",,1,
VIC AUTO PARTS,032-254-6206,,"BORROMEO ST., CEBU CITY",,1,
CEBU ISUZU PARTS SUPPLY,032-253-8882,,"123 A. BORROMEO ST., CEBU CITY",,1,
IMAGE AUTO PARTS,032-345-2343,,"LK BLDG. SUBANGDAKU , MANDAUE CITY",,1,
RED SEA AUTO SUPPLY,032-346-8225,SEASTAR,"HI-WAY MAGUIKAY, MANDAUE CITY, CEBU",,1,
CEBU MASSIVE AUTO PARTS INC. ,032-261-7982/256-3418/19,MARYJANE MOLLON,"LEON KILAT ST., CEBU CITY",228-441-198,1,
YCB GENERAL MERCHANDISE, 032-346-1140,,"6 SESAME ST., DOÑA RITA VILL.. DANAO",,1,
CEBU TOTAL PARTS CENTER,032-346-7410,,"SUBANGDAKU, MANDAUE CITY",,1,
KAPITAN PARTS CENTER & CO. INC.,9175146780,,BORROMEO ST CEBU CITY,,1,
COACH KOY BANAL,,,"SHAW BLVD., MANDALUYONG CITY",,1,
KWIKLINE TRADING,083-552-2854,9171556542,"SANTIAGO BLVD., GENERAL SANTOS CITY",219-942-644,1,
ECCO HARDWARE INC.,083-302-1277,LEAH MANAJERO 083-552-3635 301-0066/0069,"#42 PIONEER AVE., GENERAL SANTOS CITY",000-428-792,1,
SOUTHERN UNION HARDWARE CORP.,0923-808-8921 / 083-552-6250/1,booby bucol,"I. SANTIAGO BLVD., GENERAL SANTOS CITY",000-428-921,1,
TROPICAL MOTORAMA PARTS CORP.,083-552-3525,,DOOR 2&4 ECA BLDG. GENERAL SANTOS CITY,,1,
GENSAN AURORA AUTO SUPPLY INC.,083-552-6264,9127848246,I. SANTIAGO BLVD. GENERAL SANTOS CITY,005-978-914,1,
ACRIBIL CORPORATION,(088) 856 2116,ORO FRONTIER ,DON SERGIO OSMENA ST.  CAGAYAN DE ORO CITY,112-687-424,1,
GORDIEL AUTO PARTS,09228556097 viber #,ORO FRONTIER,124 DON SERGIO OSMEÑA CAGAYAN DE ORO,,1,
MINDANAO ACE MARKETING,,ORO FRONTIER,CAGAYAN DE ORO CITY,,1,
3J MARKETING,08822-723-943,,CAGAYAN DE ORO CITY,,1,
JAPKOR AUTO PARTS,088-856-4735,,"OSMEÑA R. CHAVEZ ST., CAGAYAN DE ORO",948-856-082,1,
KWIK PARTS,532-5560,,500 SHAW BLVD. MANDALUYONG CITY,,1,
AUTO DYNAMICS SERVICE CENTER,063-223-9250,,1 HARVARD ST. CELDRAN VILL. ILIGAN CITY,,1,
(OLD)HVL ENTERPRISES & AUTO PARTS CENTER,035-422-8384,DYLANIE,"STA. ROSA ST., DUMAGUETE CITY",145-339-702,1,
YOUNGBROS PARTS CENTER,712-0210,LOCAL,64 BANAWE ST. QUEZON CITY,,1,
(OLD)BENTLEY MOTOR PARTS,,,31 PATERNO ST. GALAS QUEZON CITY,,1,
B & C AUTO PARTS,088-856-5950,,CAGAYAN DE ORO CITY,,1,
ILOILO AUTO SUPPLY,986-4278,9173030300,CORNER LEDESMA VALERIA ST ILOILO CITY 5000,939-423-432,1,
(OLD)MOLSON STATLER ENT.,415-0438,"CHE,ELVIE","58 MALAC COR. GASAN ST., MASAMBONG QC",257-277-081,1,
ILOILO 3B AUTO PARTS,033-338-3418/033-335-0172,MICHELLE threebautoparts@yahoo.com.sg,VALERIA ST. BRGY. MAGSAYSAY ILOILO CITY  ,102-268-621,1,
(OLD)PBR ENTERPRISES / P. BUANHOG,,,#30 ROAD 5 KALOOKAN CITY,,1,
JEMVIC AUTO PARTS & SERVICE - J,9275736563,,"GUWAN, ZAMBOANGA CITY",,1,
CARMINE AUTO PARTS,,,ZAMBOANGA CITY,,1,
CARMARK AUTOMOTIVE SUPPLY,415-0438,,"TOMAS CLAUDIO ST., ZAMBOANGA CITY",,1,
DENEB ENTERPRISES,991-0017,,ZAMBOANGA CITY,,1,
P & G COMMERCIAL,,,"OROQUIETA CITY, MISAMIS OCCIDENTAL",,1,
ESTAR SURPLUS,,PAMBATO,PAGADIAN CITY,,1,
JOHN SHAN MARKETING & A/S,991-4922,,"GOV. LIM AVE., ZAMBOANGA CITY",,1,
JSR ENTERPRISES,915-0328,,#22 Dona Aurora Excutive Vill. Pasig,,1,
FRESHMAN MARKETING,743-2626 / 781-,,18 UBAY ST. BRGY SHENNA QUEZON CITY,,1,
PARTSLINK ENTERPRISES,,,MANILA,,1,
YVETTE YU C/O  MICHIBA MARKETING ,9976442762,,"OSMEÑA ST., CAGAYAN DE ORO CITY",,1,
"STATE MOTOR PARTS CO., INC.",433-1682 / 83,SIR WINDEL,"GONZAGA ST., BACOLOD CITY",,1,
KIMJAN SALES CENTER,929-1642,,QUEZON CITY,,1,
J-MAC MOTOR PARTS,,,QUEZON CITY,,1,
GLOBAL CAR KLINIK,27439989,,STA. CRUZ MANILA,,1,
SAN FRANCISCO AUTO PARTS INC.,499-7347 / 033 3351109,SHERWIN,"#39 LEDESMA ST., ILOILO CITY",,1,
(OLD) AUTO SHAPE CO.,372-5243 / 373-,,QUEZON CITY,,1,
NEGROS INTERNATIONAL AUTO PARTS,9228167665,SEASTAR (034) 434 5392,RIZAL ST. LACSON BACOLOD CITY,004-245-589,1,
NEGROS PIONEER AUTO SUPPLY,(034) 433 2088,EDISON GO,"LACSON ST., BACOLOD CITY",005-431-323,1,
FOUR ACES MOTOR SALES,(034) 435-1506,JAN-JAN VICERA,"COR. RIZAL-LACSON ST., BACOLOD CITY",,1,
NEW GAMMA ENTERPRISES,(034) 709-3890,,BACOLOD CITY,,1,
NEW BACOLOD INPERIAL M/P,(034) 434-6022/ 09329094071,SEASTAR,MABINI GONZAGA ST. FRONT OF CENEKO ELECTRIC CORPORATION BACOLOD CITY,136-052-346,1,
BACOLOD SUPREME MOTOR PARTS,(034) 435-3929,,BACOLOD CITY,,1,
(OLD)BACOLOD TRUCKERS PARTS SUPPLY,(034) 433-3335 / 09475741408,,BACOLOD CITY,,1,
DENNY PARTS CENTER,034  435-2525,,BACOLOD CITY,,1,
NEW MINDANAO HARDWARE,09102954509,,SURIGAO CITY,,1,
XXXXXXXXXXELVIE ENTERPRISES-RXXXXXXXXXX,320-0585/09156840075,,"#42 BURGOS ST., LAPAZ  ILOILO CITY",,1,
"MANOR GENERAL MERCHANDISE, CORP.",337-8036,,"VALERIA EXT., ILOILO CITY",,1,
AUTO WORLD PARTS SUPPLY,09228325380 DANNY,SEASTAR/// julito,"GONZAGA ST., BACOLOD CITY",,1,
NEW TAPS AUTO SUPPLY / BENSON YU,9255016801,SEASTAR NA OK!!!!/ SOUTHSEA RAD. ASSY,"LEON KILAT ST., CEBU CITY",912-768-940,1,
AKLAN HARDWARE (COCOY),9189082037,SEASTAR 50%,"POLOMOLOK, SOUTH COTABATO",,1,
GLORIOUS AUTO SUPPLY,,,CEBU CITY,,1,
RES AUTO PARTS,337-3174,,"#30 Fancom Bldg. Quezon St., Iloilo City",,1,
YUTIAM HARDWARE / DAVID YU,711-4959/60/61/,LOCAL,"STA. CRUZ, MANILA",,1,
YEN COMMERCIAL,712-0286,,"BANAWE, QUEZON CITY",,1,
JAM MOTOR PARTS,845-1773,,505 EDSA PASAY CITY,,1,
FOXSON TRADING,525-5864,,"LEON GUINTO ST., MALATE MANILA",,1,
AC PARTS MERCHANDISENG,034-309-9213/SE,SEASTAR,BACOLOD CITY,,1,
BW PARTS CENTER,034-4337904,RICKY TABUGA ( hershey accounting  ),"LACSON GONZAGA ST,.BACOLOD CITY",,1,
BEETEC ENTERPRISES,,,"CUADRA ST., BACOLOD CITY",,1,
(OLD)PLANTERS TRACTOR PARTS SUPPLY ,033-508-6546/0917-3029576,,ILOILO CITY,,1,
BL ENTERPRISES,0906 375 8198,JOSEPH PO LIM ,Corner Quezon & Ledesma Sts. Barangay Edganzon  Iloilo City  ,122-015-282,1,
NSA PARTS CENTER,034-434-1435/6,SEASTAR 100%,"LACSON-GONZAGA ST., BACOLOD CITY",,1,
MIDLINE PARTS SUPPLY CORP.,034-434-1583,,"GONZAGA-LACSON ST., BACOLOD CITY",,1,
GALAXY MOTOR,9258693177,,LACSON ST. CORNER RIZAL BACOLOD CITY,,1,
HONGSAN AUTO SUPPLY,034-432-0170 / 034-434-2740,09173010550 JAY REY UI,"#155 LACSON ST., BACOLOD CITY",000-421-760,1,
GED TRADING,063-221-2553,,"TIBANGA HI-WAY, ILIGAN CITY",,1,
MIDWAY PARTS SUPPLY,034-435-0720,,"RIZAL ST., BACOLOD CITY",,1,
M-NEW ILOILO TRACTOR PARTS - M,,,ILOILO CITY,,1,
PRIME SOURCE GEN. MDSE.,920-6617,,"43-C FEMA ROAD, MUNOZ Q.C.",,1,
MITZU MOTOR PARTS CORP.,034-435-0675/7, SEASTAR 09173003158,"ALEX ANG BLDG.,GONZAGA ST.,BARANGGAY 25  BACOLOD CITY",,1,
ALJHENG MARKETING,,,"V. RAMA, CEBU CITY      /  SEAKING",,1,
KAT INDUSTRIAL PARTS,,,BACOLOD CITY,,1,
CEBU FORTUNE MOTOR PARTS,032-255-3253,,"ESPANA ST., CEBU CITY",,1,
OLD-RENE MARKETING & AUTO PARTS,294-5033/294-9320,SEASTAR,"MANDAUE CITY, CEBU",,1,
KING LEE ENTERPRISES,084-400-2748,,"QUIRANTE 1 ST., , TAGUM CITY",,1,
ENG AN ELECTRICAL SUPPLIES INC,740-1282 / 1286,,"221-A KANLAON ST., QUEZON CITY",,1,
SHELTON PHILIPPINES AUTO PARTS,033-337-7831/70 033-337-2638/,MAJELLA PANO,"QUEZON ST.BRGY ED GANZON, ILOILO CITY",102-268-574,1,
XXXTD MARKETING XXX,(033) 337 5997,VISA CARGO,"MIDWAY SALES CORP. BLDG VALERIA EXT. BRGY MAGSAYSAY, CITY PROPER ILOILO CITY",131-396-090,1,
IBEE AUTO PARTS,033-509-6091,,"#21 LMT BLDG. FUENTES ST., ILOILO CITY",,1,
JIB INDUSTRIAL &  AUTO PARTS,032-254-9859,PAMBATO,CEBU CITY,,1,
AUTO FLEX,,,PASAY CITY,,1,
WC MOTOR PARTS,820-2586,,8165-J DR. A. SANTOS AVE. SUCAT P'QUE,,1,
CSC KORONADAL SURPLUS & A/S,083-228-9441/23   083-228-2639,9197872512,"Roxas Street Brgy Zone Il Koronadal City ,South Cotabato",109-024-896,1,
AVL AUTO SUPPLY-R,033-320-3246/508-7926,RANDY,"JARO, ILOILO CITY",,1,
METRO PRO,364-2496 / 2416,,"# 16 SAPOLOY ST., BRGY. MANRESA Q. CITY.",,1,
STOCK TRANSFER,,,,,1,
AUTOPHIL ZONE SALES CORP (SYCAN TRADING),254-8546/40,,1131 G. MASANGKAY ST. STA. CRUZ MLA.,,1,
ARCE MARKETING,,,ROXAS CITY,,1,
SUSAN CRUZ,,,"MONTEVERDE AVE., DAVAO CITY",,1,
R & J PADLAN ENTERPRISES,064-421-4185,PAMBATO,COTABATO CITY,,1,
(OLD)SPRINTER AUTO PARTS,083-228-4055,,"KORONADAL CITY,  MARBEL SOUTH COTABATO",,1,
LCT HARDWARE,064-212363-2126,,COTABATO CITY,,1,
(old )BANLI TAN  / BLT ,,,QUEZON CITY,,1,
EDGAR LAO / CEBU SERVICE PARTS INC,032-346-8827,,MANDAUE CITY,,1,
CARTECH MARKETING,0917-704-0311,GERLIE VILLANUEVA,"STA. ANA AVE., DAVAO CITY",,1,
AUTO SPEC,711-5046,,"BANAWE, QUEZON CITY",,1,
TERMINAL DIESEL AUTO PARTS,084-2172233,,TAGUM CITY,,1,
KOKSEN AUTO PARTS,,,DAVAO CITY,,1,
DAVAO EXPRESS AUTO SUPPLY,082-227-4194,,DAVAO CITY,,1,
A & L MARKETING,,,CAGAYAN DE ORO CITY,,1,
OZAMIS YOUNG HARDWARE,9985798170,,Don Anselmo Bernard Ave. Ozamis City,,1,
DND AUTOMOTIVE COMPONENTS INC,9178289898,SIR DELFIN (jenefer},#1164 PADRE ALGUE ST. TONDO MANILA,,1,
OSAKA AUTO SUPPLY,088-521-1922,SOUTHSEA,OZAMIS CITY,,1,
BALLIN AUTO PARTS,9361852734,JADES,"SABAYLE ST., ILIGAN CITY",,1,
RBL MARKETING-M,0917-707-7943,JADES,"SABAYLE ST., ILIGAN CITY",,1,
EXCELLENT PARTS & INDUSTRIAL MARKETING,,,"RAMON CHAVEZ-OSMENA ST., CAG. DE ORO CITY",937-721-205,1,
EXL TRADING,088-856-4907ORO,,"AGORA ST., CAGAYAN DE ORO CITY",,1,
CELINE JANE AUTO PARTS,,,CAGAYAN DE ORO CITY,,1,
MBH AUTO SUPPLY,,,ILIGAN CITY,,1,
DO NOT  USE GOLDEN MOTOR PARTS/STREET KING,082-227-9152,,"STA. ANA AVENUE, DAVAO CITY",,1,
E & G AUTO PARTS & GLASS SALES CENTER,032-345-8238,,10 GK Chua Bldg. Subangdaku Mandaue City,,1,
RACE & TRAIL AUTO SUPPLY,,,"IBABAO AGOS, CEBU CITY",,1,
DAKKY AUTO SUPPLY,433-7457,,"GONZAGA ST., BACOLOD CITY",,1,
EBR PARTS & HARDWARE,,,POLOMOLOK SOUTH COTABATO,,1,
COTABATO PEOPLES PARTS & HARDWARE,,PAMBATO,COTABATO CITY,,1,
COTABATO UNION HARDWARE,,,COTABATO CITY,,1,
"YU KIAN GUAN HARDWARE CO., INC.",,,"#5 SINSUAT AVE., COTABATO CITY",,1,
METROPOLITAN HARDWARE,,,COTABATO CITY,,1,
ALBETHZON MOTOR PARTS,064-421-3373,JADES CARGO,COTABATO CITY,,1,
DIANA AUTO SUPPLY,,,DAVAO CITY,,1,
GENSAN PRIMAL AUTO PARTS,083-302-1149,,GEN. SANTOS CITY,,1,
R.L. STERLING AUTO PARTS & HARDWARE,,,GEN. SANTOS CITY,,1,
SWI AUTO PARTS & ACCESORIES,,SEAKING,"NATIONAL HI-WAY, GEN. SANTOS CITY",,1,
JEFFSTAR PARTS & HARDWARE,,,DAVAO CITY,,1,
QUICK ACCESS AUTO PARTS & HARDWARE,083-553-6018,JADES,"MANSANITAS ST., GEN. SANTOS CITY",,1,
HEBEN BRIGHTSTAR MARKETING,,,"SANTIAGO BLVD., GEN. SANTOS CITY",,1,
HYB PARTS & HARDWARE,082-2984994,,"ULAS, DAVAO CITY",,1,
ARRENAR TRADING,365-0796 (ARMEN,,"23-A MAYIMO VIOLA ST., BALINGASA, Q.C.",,1,
COTABATO JOHN AUTO PARTS,,,COTABATO CITY,,1,
"R- POWER-UP TIRE , BATT. & A/S ",084-217-3431,RANDY MALAGAO,"TAGUM CITY, DAVAO DEL NORTE",,1,
MF AUTO PARTS,,,CAGAYAN DE ORO CITY,,1,
KARMELCON AUTO PARTS,712-5518,,QUEZON CITY,,1,
TRUE FORCE,,,QUEZON CITY,,1,
GOODWISH ENTERPRISES,,,"CARMEN, CAGAYAN DE ORO CITY",,1,
GOLDEN MOTOR PARTS,221-3580,,"43 A & B VILLA ABRILLE, DAVAO CITY",,1,
UNISON MOTORS,,,"TAFT AVENUE, PASAY CITY",,1,
UNI-PARTS MKTG.,,,"# 1970 CALATAGAN ST., PALANAN MAKATI",,1,
HSIANG CHIRS AUTO PARTS,412-9898,,"# 17 D. CARDIZ ST., COR. BANAWE Q. CITY",,1,
ICHIBAN MOTOR PARTS,732-1770,,"# 09 BANAWE ST., QUEZON CITY",,1,
RO-JEAN AUTO SUPPLY,063-496-0194,,"Maranding Lala, Lanao del Norte",,1,
OLH PHIL.,,,"COUNTRY VILLAGE, CAG. DE ORO CITY",,1,
MILLERS HARDWARE,733-6160,,# 716 FLORENTINO TOREES ST. MLA.,,1,
NIPPON ILOILO AUTO SUPPLY,,,ILOILO CITY,,1,
MR.WARREN YU,9228416786,,DAVAO CITY,,1,
MR. RANDY MALAGAO,9328855722,9328855722,905A AKLAN ST. DAVAO CITY,,1,
TABUNOK BOLT CENTER,273-6935,MGMM CARGO,"BULACAO, TALISAY CITY, CEBU",,1,
TIO AUTO PARTS SUPPLY,,,OZAMIS CITY,,1,
BEA'S AUTO PARTS,,,CAGAYAN DE ORO CITY,,1,
B & C AUTO PARTS,,,OZAMIS CITY,,1,
FGN AUTO SUPPLY,,,ILOILO CITY,,1,
OLD-KIMASIA MERCHANDISING,,,"SOLER ST., STA. CRUZ MANILA",,1,
MELBERT MARKETING,0926-7495557,,ILOILO CITY,,1,
DPJ AUTO SUPPLY,,,ILOILO CITY,,1,
LONGWAY PARTS MERCHANDISENG,,,BACOLOD CITY,,1,
AUTO BUFF,,,"BANAWE, QUEZON CITY",,1,
(OLD)EX-MANILA,,,MANILA,,1,
MESACO,,,MULTI,,1,
FEDERAL CHEM,,,QUEZON CITY,,1,
PREVIA AUTO PARTS,082-2213132,SEAKING,DAVAO CITY,,1,
R-HK MOTOR PARTS SUPPLY ,329-1538,SEASTAR,"JARO, ILOILO CITY (09229694853)",,1,
KARPLUS,841-0470,,MALUGAY ST. MAKATI CITY,,1,
MULTILINE,,,BANAWE,,1,
ULTRA CAR CENTER,,,ILOILO CITY,,1,
777 AUTO SUPPLY,,,"BF HOMES, PARANAQUE CITY",,1,
MM-TBA MARKETING,9228894322,leslie,"GUERRERO ST., DAVAO CITY",,1,
STAREX MOTOR PARTS,225-1584,SEASTAR,DAVAO CITY,,1,
BLUE WATERS AUTO PARTS,300-8597,,"573-3 J.P. LAUREL AVE., DAVAO CITY",,1,
ROXAS SURPLUS CENTER & GEN MDSG,9173121716,lawaangardenhotel@gmail.com /// ap cargo 00033316,"BRG. LAWAAN, ROXAS CITY (400-7508) ",102-221-388,1,
DAVAO CATHAY PARTS & HARDWARE,289-4977,,"R. MAGSAYSAY AVE., DAVAO CITY",,1,
TONG MERCHANDISENG & A/S,,,ZAMBOANGA CITY,,1,
TABEL ENTERPRISE AUTOMOTIVE PARTS,038-411-2957,PAMBATO,"J. VISSARA ST., TAGBILARAN CITY",,1,
HOCKSON A/S,254-9032,,1137-C CM RECTO AVE. STA. CRUZ MLA.,,1,
BUTUAN EXPRESS HARDWARE,,,DAVAO CITY,,1,
WILLIAM AUTO SUPPLY,336-2320/508-65,,"VALERIA EXT. ST., ILOILO CITY",,1,
DELIMA AUTO SUPPLY,9228711986,09228711986 JAIME,"PAJO, LAPU-LAPU CITY (340-1255/56)",,1,
NIKKO INDUSTRIAL PARTS CENTER,9238010715,,BACOLOD CITY,,1,
"JOESONS COMMERCIAL CO., INC.",9257222654,ORO FRONTIER,"OSMEÑA, CAGAYAN DE ORO CITY",,1,
RVB AUTO SUPPLY,,,"MONTEVERDE ST., DAVAO CITY",,1,
BUTUAN BRAKE CENTER,9228703027,,"LANGIHAN ROAD, BUTUAN CITY",,1,
BIG O'S TIRE CORPORATION,532-5560,,"500 SHAW BLVD., MANDALUYONG CITY",,1,
SIMEON YU,9228344318,9426125750,246 A. DEL ROSARIO ST. MATUYONG MANDAUE CITY,,1,
JUDITH GARCIA,,,ANTIPOLO CITY,,1,
PANABO ADENTORES AUTO SUPPLY,,SEAKING,"453-A VILLA ABRILLE ST., DAVAO CITY",,1,
HARVARD MERCANTILE INC.,361-9872,,KALOOKAN CITY,,1,
EXTENSIVE COMMERCIAL,,,"REGIDOR  STA. CRUZ, LAGUNA",,1,
EXCEL LANCE MARKETING,,,MANDAUE CITY,,1,
RENAR MARKETING -09058086331,088-855-6229,SEASTAR,"BUGO, CAGAYAN DE ORO CITY",,1,
315 AUTO PARTS SALES,032-268-9081,SEASTAR,"LABOGON, MANDAUE CITY, CEBU",,1,
"BIG ""R"" AUTO PARTS & ACCESORIES",,,POLOMOLOK SOUTH COTABATO,,1,
FELIX NG,,,MANILA,,1,
JE AUTO PARTS,0917-707-9882,,"GUSA HIGHWAY, CAGAYAN DE ORO CITY",,1,
MINERVA TIRE HAUS,,,"CALAMBA, LAGUNA",,1,
ILIGAN SMA TRADERS INC,(063) 221 1212,JADES CARGO,SABAYLE ST ILIGAN CITY LANAO DEL NORTE,010-148-283,1,
SUPER SAVERS AUTO SUPPLY,,,CAVITY,,1,
323 AUTO PARTS CENTER,,,BACOOR CAVITE,,1,
MINERVA TIRE GALLERY,,,ALABANG TOWN CENTER,,1,
MINERVA SALES CORP.,,,"BINAN, LAGUNA",,1,
G-3 SUPPLY & MARKETING,9174633237,,"STA. ANA AVE., DAVAO CITY",,1,
JUN ESCANO,,, QUEZON CITY,,1,
HNR AUTO SUPPLY,,,"BACOOR, CAVITE",,1,
JAEFER CONSTRUCTION SUPPLY,,,"G. ARANETA, QUEZON CITY",,1,
GGD DISTRIBUTION,GEORGE GORDIEL,,CAGAYAN DE ORO CITY,,1,
ADI CRUZ,,,MAKATI,,1,
KENJI 59 AUTO PARTS,09266949140,,CAGAYAN DE ORO CITY,,1,
BNW AUTO SUPPLY,,,"MOLINO, BACOOR CAVITE",,1,
ACE LOGISTICS INC.,788-0760/62,,"SUNBLEST COMP. CUPANG, MUNTINLUPA",,1,
CEBU DALTAN AUTO SUPPLY,,,MANDAUE CITY,,1,
CEBU ELECTRO MARKETING,262-2308/261-95,,"MAMBALING, CEBU CITY",,1,
DNE INDUSTRIES INC.,,,"# 495 V. RAMA AVE., CEBU CITY",,1,
RAJ HIGH SERIES,300-5118,SEAKING,153 LIM BLDG. J.P LAUREL AVE. DAVAO CITY,,1,
ORMOC EVERGREEN TRADING,053-561-6010,SOUTH SEA,LILIA AVE. COR.F. ABLIN COGON ORMOC CITY,919-713-222,1,
STIVY PARTS CENTER,283-6894,SEAKING,DAVAO CITY,,1,
0LD-JOHNNY AUTO SUPPLY,083-228-8222,,"A. MORROW ST., KORONADAL CITY (228-9821)",,1,
"H.E. HARDWARE, AUTO & FISHING SUPPLY",552-6123 / 8615,SEAKING,SANTIAGO BLVD. GENERAL SANTOS CITY,,1,
M-DADIANGAS AUTOWORLD PARTS,083-554-1904,,GENERAL SANTOS CITY,923-325-139,1,
MULTIMOTORS A/P,,,BANAWE,,1,
BUILT-N SUPPLY ENT.,083-228-6088/54,,ROXAS ST. KORONADAL CITY,,1,
MARBEL JN AUTO PARTS,,,"GENSAN DRIVE , KORONADAL CITY",,1,
COTABATO MIXED PARTS,,,COTABATO CITY,,1,
JOJO,831-5072,,MAKATI,,1,
CEBU ADVANTECH,032-418-4854,,"PANGANIBAN ST., CEBU CITY",,1,
